codigo_postal,rua,freguesia,concelho,distrito,latitude,longitude,pais,nº de porta
2425-010,Av de Almeida,Granja,Leiria,Leiria,39.8558,-8.8781,Portugal,97
7300-582,R. das Amoreiras,Urra,Portalegre,Portalegre,39.2283,-7.3986,Portugal,45
2950-689,Avenida da Companhia,Quinta do Anjo,Palmela,Setúbal,38.5675,-8.9423,Portugal,55
2790-337,Praça de Neto,Queijas,Oeiras,Lisboa,38.7191,-9.2634,Portugal,75
4905-241,Av Micael Mendes,Carvoeiro,Viana do Castelo,Viana do Castelo,41.6485,-8.6562,Portugal,01
2690-497,Alameda Borges,Santa Iria de Azóia,Loures,Lisboa,38.8188,-9.0939,Portugal,50
2565-842,Largo Borges,"Lugar de Além, Bemposta, Casal Serra do Marco, Moçafaneira, Casal Oureça, Casal da Milharosa, Casais Castelão, Casal do Rossio, Bogalheira",Torres Vedras,Lisboa,39.0077,-9.215011,Portugal,94
7565-116,Largo Reis,Monte Vale Peixeiro,Santiago do Cacém,Setúbal,37.9368,-8.3925,Portugal,47
4635-711,Avenida Leite,Vila Boa de Quires,Marco de Canaveses,Porto,41.21,-8.2033,Portugal,31
1150-234,Alameda Torres,Lisboa,Lisboa,Lisboa,38.7167,-9.1333,Portugal,84
2785-760,Largo Nair Gaspar,Madorna,Cascais,Lisboa,38.701,-9.3298,Portugal,00
2815-727,Avenida dos Heróis do Mar,Sobreda,Almada,Setúbal,38.6496,-9.1898,Portugal,84
4465-023,Largo de Vaz,São Mamede de Infesta,Matosinhos,Porto,41.2004,-8.6025,Portugal,93
8005-238,Avenida Teixeira,Faro,Faro,Faro,37.0194,-7.9322,Portugal,55
4700-303,Largo Maia,Braga,Braga,Braga,41.5503,-8.4201,Portugal,00
4480-037,Travessa Borges,Arcos,Vila do Conde,Porto,41.3963,-8.6669,Portugal,78
4200-197,Praça Paiva,Porto,Porto,Porto,41.1496,-8.611,Portugal,20
4710-088,Praça de Pio XII,Braga,Braga,Braga,41.5503,-8.4201,Portugal,32
2350-487,Avenida Rocha,Liteiros,Torres Novas,Santarém,39.4677,-8.5974,Portugal,87
1675-629,Largo de Baptista,Pontinha,Odivelas,Lisboa,38.7677,-9.1993,Portugal,32
3880-813,R. de Batista,São Vicente de Pereira Jusã,Ovar,Aveiro,40.8667,-8.5373,Portugal,21
3400-223,Av Artur Cupertino de Miranda,Aldeia das Dez,Oliveira do Hospital,Coimbra,40.2955,-7.8636,Portugal,81
4825-205,Rua da Senhora da Luz,Guimarei,Santo Tirso,Porto,41.3433,-8.4875,Portugal,25
4470-313,Praça de Antunes,Maia,Maia,Porto,41.2357,-8.6199,Portugal,85
2140-119,Avenida Erika Rodrigues,Chamusca,Chamusca,Santarém,39.311,-8.5631,Portugal,61
2330-123,Rua Iara Marques,Entroncamento,Entroncamento,Santarém,39.4667,-8.4667,Portugal,03
2135-248,Rua de Vaz,Samora Correia,Benavente,Santarém,38.9371,-8.8718,Portugal,46
2644-006,Praça de Costa Cabral,Mafra,Mafra,Lisboa,38.9379,-9.3276,Portugal,71
2970-026,Praça Amaral,Aiana,Sesimbra,Setúbal,38.4702,-9.1426,Portugal,63
4760-478,Travessa de Pereira,Vila Nova de Famalicão,Vila Nova de Famalicão,Braga,41.408,-8.5198,Portugal,82
2130-362,Travessa de Tavares,Benavente,Benavente,Santarém,38.9792,-8.8076,Portugal,43
4605-471,Av Paulo Moura,Travanca,Amarante,Porto,41.279,-8.1928,Portugal,73
4635-300,Largo Herculano,Santo Isidoro,Marco de Canaveses,Porto,41.2108,-8.1422,Portugal,67
2755-044,Travessa Paris (Nascente),Alcabideche,Cascais,Lisboa,38.7337,-9.4093,Portugal,91
4615-815,Av Morais,Agilde,Celorico de Basto,Braga,41.3614,-8.1125,Portugal,06
1100-484,R. Júlia Nascimento,Lisboa,Lisboa,Lisboa,38.7167,-9.1333,Portugal,41
5340-160,Travessa Igor Matias,Lagoa,Macedo de Cavaleiros,Bragança,41.4468,-6.7694,Portugal,24
2520-522,Largo de Valente,Peniche,Peniche,Leiria,39.3558,-9.3811,Portugal,62
4445-288,Praça de Moreira,Ermesinde,Valongo,Porto,41.2218,-8.5546,Portugal,99
2600-614,R. Teófilo Ferreira,Castanheira do Ribatejo,Vila Franca de Xira,Lisboa,38.993,-8.9735,Portugal,35
8700-160,Largo de Rocha,Olhão,Olhão,Faro,37.0286,-7.8411,Portugal,41
8200-124,R. Marcos Teixeira,Albufeira,Albufeira,Faro,37.0882,-8.2503,Portugal,93
2615-347,Praça de Lima,Alverca do Ribatejo,Vila Franca de Xira,Lisboa,38.899,-9.0386,Portugal,52
4485-185,Praça Cardoso,Gião,Vila do Conde,Porto,41.3154,-8.6731,Portugal,50
2680-557,Avenida Marques,Camarate,Loures,Lisboa,38.8036,-9.1281,Portugal,27
4700-521,Largo Victória Torres,Palmeira,Braga,Braga,41.5909,-8.4275,Portugal,19
4935-998,Avenida Carneiro,Vila Nova de Anha,Viana do Castelo,Viana do Castelo,41.6932,-8.8329,Portugal,26
4300-161,Av Barros,Porto,Porto,Porto,41.1496,-8.611,Portugal,18
7150-240,Travessa Pinto,Serrado do Curvo,Borba,Évora,38.8055,-7.4546,Portugal,18
2675-209,R. Alice Cruz,Odivelas,Odivelas,Lisboa,38.7927,-9.1838,Portugal,66
7080-122,Largo Gabriel Sá,Vendas Novas,Vendas Novas,Évora,38.6771,-8.4579,Portugal,68
4485-530,R. Vera Neves,Mindelo,Vila do Conde,Porto,41.3153,-8.7212,Portugal,91
2845-083,Avenida Azevedo,Cruz de Pau,Seixal,Setúbal,38.6142,-9.13,Portugal,03
4475-326,Alameda das Rolas,Maia,Maia,Porto,41.2357,-8.6199,Portugal,13
4640-269,R. de São Roque da Lameira,Gove,Baião,Porto,41.1307,-8.0445,Portugal,72
3230-342,Av Mélanie Almeida,Vale de Arinto,Penela,Coimbra,40.0084,-8.3708,Portugal,66
6200-650,Largo de Costa Cabral,Teixoso,Covilhã,Castelo Branco,40.3145,-7.4576,Portugal,52
4760-003,Avenida de Cunha,Vila Nova de Famalicão,Vila Nova de Famalicão,Braga,41.408,-8.5198,Portugal,23
2626-509,Av de Esteves,Póvoa de Santa Iria,Vila Franca de Xira,Lisboa,38.861,-9.0645,Portugal,21
8950-187,Alameda da Companhia,Horta das Dragas,Castro Marim,Faro,37.2942,-7.4709,Portugal,26
7750-411,Alameda de Alves,Pomarão,Mértola,Beja,37.5595,-7.5253,Portugal,29
3045-271,R. de Barros,Coimbra,Coimbra,Coimbra,40.2056,-8.4196,Portugal,21
4410-080,Travessa Jorge Luis Borges,Serzedo,Vila Nova de Gaia,Porto,41.051,-8.6161,Portugal,25
4730-725,Alameda dos Mártires da Pátria,Vila Verde,Vila Verde,Braga,41.6473,-8.4372,Portugal,20
5320-306,Largo de Teixeira,Vinhais,Vinhais,Bragança,41.8351,-7.005,Portugal,74
4585-658,Rua Isaac Henriques,Sobreira,Paredes,Porto,41.1484,-8.3842,Portugal,84
3860-424,R. Márcio Gomes,Pardilhó,Estarreja,Aveiro,40.7992,-8.626,Portugal,60
8400-243,Travessa Naiara Pereira,Ferragudo,Lagoa,Faro,37.1247,-8.5192,Portugal,32
3500-035,Largo Azevedo,Viseu,Viseu,Viseu,40.661,-7.9097,Portugal,16
5400-244,R. de Pacheco,Chaves,Chaves,Vila Real,41.7402,-7.4688,Portugal,18
5160-000,R. Filipa Santos,Torre de Moncorvo,Torre de Moncorvo,Bragança,41.1745,-7.0536,Portugal,87
4810-805,Alameda Alícia Nunes,Calvos,Guimarães,Braga,41.4056,-8.2447,Portugal,99
2565-657,R. Ana Neves,Ramalhal,Torres Vedras,Lisboa,39.1464,-9.2331,Portugal,17
4485-354,Travessa de Andrade,Labruge,Vila do Conde,Porto,41.2817,-8.7012,Portugal,47
4930-376,Alameda Figueiredo,Vilar,Valença,Viana do Castelo,42.0251,-8.6079,Portugal,32
2640-258,Avenida Bernardo Andrade,Encarnação,Mafra,Lisboa,39.0338,-9.3677,Portugal,78
3810-402,R. República da Colômbia,Aveiro,Aveiro,Aveiro,40.6443,-8.6455,Portugal,82
7220-213,R. Cunha,Monte do Trigo,Portel,Évora,38.3729,-7.6592,Portugal,79
